x,y
-0.7860030015007504,20.0
-0.7901400700350175,20.0
-0.794272136068034,20.0
-0.7983991995997999,20.0
-0.8025212606303151,20.0
-0.8066383191595798,20.0
-0.8107503751875939,20.0
-0.8148574287143572,20.0
-0.8189594797398699,20.0
-0.8230565282641321,20.0
-0.8271485742871436,20.0
-0.8312356178089044,20.0
-0.8353176588294148,20.0
-0.8393946973486743,20.0
-0.8434667333666834,20.0
-0.8475337668834417,20.0
-0.8515957978989496,20.0
-0.8556528264132066,20.0
-0.8597048524262132,20.0
-0.8637518759379691,20.0
-0.8677938969484742,20.0
-0.8718309154577288,20.0
-0.8758629314657328,20.0
-0.8798899449724862,20.0
-0.883911955977989,20.0
-0.8879289644822411,20.0
-0.8919409704852426,20.0
-0.8959479739869936,20.0
-0.8999499749874937,20.0
-0.9039469734867435,20.0
-0.9079389694847424,20.0
-0.9119259629814909,20.0
-0.9159079539769885,20.0
-0.9198849424712355,20.0
-0.9238569284642322,20.0
-0.9278239119559779,20.0
-0.9317858929464733,20.0
-0.9357428714357178,20.0
-0.9396948474237119,20.0
-0.9436418209104551,20.0
-0.947583791895948,20.0
-0.9515207603801901,20.0
-0.9554527263631817,20.0
-0.9593796898449224,20.0
-0.9633016508254127,20.0
-0.9672186093046523,20.0
-0.9711305652826414,20.0
-0.9750375187593796,20.0
-0.9789394697348676,20.0
-0.9828364182091045,20.0
-0.9867283641820912,20.0
-0.9906153076538269,20.0
-0.9944972486243122,20.0
-0.9983741870935467,20.0
-1.002246123061531,20.0
-1.006113056528264,20.0
-1.009974987493747,20.0
-1.013831915957979,20.0
-1.0176838419209606,20.0
-1.0215307653826913,20.0
-1.0253726863431716,20.0
-1.0292096048024013,20.0
-1.03304152076038,20.0
-1.0368684342171086,20.0
-1.0406903451725862,20.0
-1.0445072536268134,20.0
-1.0483191595797898,20.0
-1.052126063031516,20.0
-1.055927963981991,20.0
-1.0597248624312157,20.0
-1.0635167583791896,20.0
-1.0673036518259131,20.0
-1.0710855427713857,20.0
-1.0748624312156079,20.0
-1.0786343171585793,20.0
-1.0824012006003003,20.0
-1.0861630815407703,20.0
-1.08991995997999,20.0
-1.093671835917959,20.0
-1.0974187093546774,20.0
-1.101160580290145,20.0
-1.1048974487243624,20.0
-1.1086293146573287,20.0
-1.1123561780890447,20.0
-1.1160780390195097,20.0
-1.1197948974487242,20.0
-1.1235067533766885,20.0
-1.1272136068034015,20.0
-1.1309154577288645,20.0
-1.1346123061530764,20.0
-1.1383041520760382,20.0
-1.1419909954977487,20.0
-1.1456728364182092,20.0
-1.1493496748374186,20.0
-1.1530215107553778,20.0
-1.1566883441720859,20.0
-1.1603501750875438,20.0
-1.164007003501751,20.0
-1.1676588294147074,20.0
-1.1713056528264132,20.0
-1.1749474737368686,20.0
-1.178584292146073,20.0
-1.182216108054027,20.0
-1.1858429214607304,20.0
-1.189464732366183,20.0
-1.1930815407703852,20.0
-1.1966933466733367,20.0
-1.2003001500750377,20.0
-1.2039019509754878,20.0
-1.2074987493746874,20.0
-1.2110905452726362,20.0
-1.2146773386693348,20.0
-1.2182591295647822,20.0
-1.2218359179589795,20.0
-1.225407703851926,20.0
-1.228974487243622,20.0
-1.232536268134067,20.0
-1.2360930465232616,20.0
-1.2396448224112055,20.0
-1.243191595797899,20.0
-1.2467333666833416,20.0
-1.2502701350675338,20.0
-1.2538019009504753,20.0
-1.2573286643321662,20.0
-1.2608504252126063,20.0
-1.264367183591796,20.0
-1.267878939469735,20.0
-1.2713856928464233,20.0
-1.274887443721861,20.0
-1.2783841920960481,20.0
-1.2818759379689846,20.0
-1.2853626813406704,20.0
-1.2888444222111055,20.0
-1.2923211605802902,20.0
-1.2957928964482242,20.0
-1.2992596298149075,20.0
-1.3027213606803403,20.0
-1.3061780890445223,20.0
-1.3096298149074537,20.0
-1.3130765382691345,20.0
-1.3165182591295648,20.0
-1.3199549774887442,20.0
-1.3233866933466734,20.0
-1.3268134067033517,20.0
-1.3302351175587794,20.0
-1.3336518259129564,20.0
-1.337063531765883,20.0
-1.3404702351175588,20.0
-1.343871935967984,20.0
-1.3472686343171585,20.0
-1.3506603301650826,20.0
-1.3540470235117559,20.0
-1.3574287143571788,20.0
-1.3608054027013505,20.0
-1.364177088544272,20.0
-1.367543771885943,20.0
-1.3709054527263633,20.0
-1.3742621310655327,20.0
-1.3776138069034518,20.0
-1.38096048024012,20.0
-1.3843021510755378,20.0
-1.387638819409705,20.0
-1.3909704852426212,20.0
-1.3942971485742872,20.0
-1.3976188094047024,20.0
-1.400935467733867,20.0
-1.4042471235617808,20.0
-1.4075537768884443,20.0
-1.410855427713857,20.0
-1.414152076038019,20.0
-1.4174437218609304,20.0
